Conventions, G, BADC-CSV,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title, G," ""Annual meteorology since 1988 at the Bush Cabin", UKCEH Edinburgh, Bush Estate, Penicuik, Midlothian," EH26 0QB""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creator, G," ""Mhairi Coyle"""," ""UK Centre for Ecology and Hydrology"""," ""mcoy@ceh.ac.uk""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
observation_station, G, Bush Cabin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature_type, G, Land surface meteorology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
location, G,55.862281,-3.205782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments, G," ""180 m asl""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments, G," ""1988-1994 Hourly"," 1995 onwards 0.5 hourly""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments, G," ""short name codes A_B_C; A: 1 = MAIN MAST (4 m moved to 10 m on 18/01/2000); 2 = TIPPING BUCKET; 3 = ON THE CABIN; B = vertical position; C = replicate number""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments, G," ""The height of the mast was increased in January 2000 to move the instruments above the trees growing near the site. The met sensors moved from ca 4 m to 10 m above ground level""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
last_revised_date, G, 2023-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flag_values,G,0,1,2,3,4,5,10,12,13,15,16,109,110,108,107,106,105,210,212,213,215,216,310,312,313,315,316,410,412,413,415,416,810,812,813,815,816,910,912,913,915,916
flag_meanings,G,initial data flag for raw data that has had a simple range check,final flag for original measurement that has be verified as okay,data out of range,data below detection limit,data within range but does not follow usual pattern (no reason is not identifiable),calibration span or zero check,no data missing for unknown reason,no data point deleted as out of range,no data point deleted as below detection limit,no data missing due to calibration span or zero check,no data maintenance or site wide issue,data interpolated missing for unknown reason,data interpolated missing for unknown reason,data interpolated missing due to calibration span or zero check,data interpolated fault maintenance or site wide issue,data interpolated point deleted as out of range,data interpolated point deleted as below detection limit,missing for unknown reason gapfilled with colocated measurements  if at a different height adjusted by linear interpolation of annual data sets,point deleted as out of range gapfilled with colocated measurements  if at a different height adjusted by linear interpolation of annual data sets,point deleted as below detection limit gapfilled with colocated measurements  if at a different height adjusted by linear interpolation of annual data sets,data missing due to calibration span or zero check gapfilled with colocated measurements  if at a different height adjusted by linear interpolation of annual data sets,no data maintenance or site wide issue gapfilled with colocated measurements  if at a different height adjusted by linear interpolation of annual data sets,missing for unknown reason gapfilled from nearby sites adjusted by linear interpolation of annual data sets,point deleted as out of range gapfilled from nearby sites adjusted by linear interpolation of annual data sets,point deleted as below detection limit gapfilled from nearby sites adjusted by linear interpolation of annual data sets,data missing due to calibration span or zero check gapfilled from nearby sites adjusted by linear interpolation of annual data sets,no data maintenance or site wide issue gapfilled from nearby sites adjusted by linear interpolation of annual data sets,missing for unknown reason gapfilled with modelled data,point deleted as out of range gapfilled with modelled data,point deleted as below detection limit gapfilled with modelled data,data missing due to calibration span or zero checkgapfilled with modelled data,no data maintenance or site wide issue gapfilled with modelled data,missing for unknown reason gapfilled with derived data calculated from other measured pararmeters,point deleted as out of range gapfilled with derived data calculated from other measured pararmeters,point deleted as below detection limit gapfilled with derived data calculated from other measured pararmeters,data missing due to calibration span or zero check gapfilled with derived data calculated from other measured pararmeters,no data maintenance or site wide issue gapfilled with derived data calculated from other measured pararmeters,missing for unknown reason gapfilled with data dervied from measurements on colocated sensors or a nearby site,point deleted as out of range gapfilled with data dervied from measurements on colocated sensors or a nearby site,point deleted as below detection limit gapfilled with data dervied from measurements on colocated sensors or a nearby site,data missing due to calibration span or zero check gapfilled with data dervied from measurements on colocated sensors or a nearby site,no data maintenance or site wide issue gapfilled with data dervied from measurements on colocated sensors or a nearby site
Long_name,1,Date Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,1,"Format ""DD/MM/YYYY hh:mm""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,2,Date Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,2,"Format ""YYYYMMDDHHMM""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,3,Total global solar radiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,3,RG_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,3,Units Wm/2; Skye SKS1110 s/n 25689 (calibrated August 2002/Nov 2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,3,1/1/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,4,Flag Total global solar radiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,4,FLAG RG_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,4,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,5,Ambient air temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,5,TA_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,5,Units oC; Vailsala 50Y Humitter probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,5,1/1/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,6,Flag Ambient air temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,6,FLAG TA_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,6,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,7,Ambient air temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,7,TA_1_1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,7,Units oC; Campbell Scientfic 107 probe; Replaced August 2002; Campbell Scientific Ltd (https://www.campbellsci.co.uk/107),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,7,1/1/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,8,Flag Ambient air temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,8,FLAG TA_1_1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,8,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,9,Ambient air temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,9,TA_1_1_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,9,Units oC; WXT520 s/n F1110013 until 2018-12-20 replaced with WXT530 s/n WXT530-367-P4950378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,9,6/1/2011 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,10,Flag Ambient air temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,10,FLAG TA_1_1_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,10,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,11,Relative Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,11,RH_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,11,Units %; Vailsala 50Y Humitter probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,11,1/1/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,12,Flag Relative Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,12,FLAG RH_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,12,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,13,Relative Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,13,RH_1_1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,13,Units %; Vaisala WXT520 s/n F1110013 until 2018-12-20 replaced with WXT530 s/n WXT530-367-P4950378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,13,6/1/2011 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,14,Flag Relative Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,14,FLAG RH_1_1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,14,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,15,Rainfall by tipping bucket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,15,P_TB_2_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,15,"Units mm; original model unknown; currently ELE SPDRG-52 tipping bucket rain gauge; 0.25mm/tip (manufactured 2007, s/n SPDRG-52-19542)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,15,1/1/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,16,Flag Rainfall by tipping bucket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,16,FLAG P_TB_2_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,16,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,17,Rainfall by percussion sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,17,P_PC_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,17,Units mm; Vaisala WXT520 s/n F1110013 until 2018-12-20 replaced with WXT530 s/n WXT530-367-P4950378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,17,6/1/2011 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,18,Flag Rainfall by percussion sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,18,FLAG P_PC_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,18,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,19,atmospheric pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,19,PA_3_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,19,Units kPa; original model unknown; currently Vaisala PTB101B s/n R2150003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,19,10/14/1996 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,20,Flag atmospheric pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,20,FLAG PA_3_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,20,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,21,atmospheric pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,21,PA_1_1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,21,Units kPa; WXT520 s/n F1110013 until 2018-12-20 replaced with WXT530 s/n WXT530-367-P4950378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,21,6/1/2011 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,22,Flag atmospheric pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,22,FLAG PA_1_1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,22,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,23,Wind direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,23,WD_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,23,"Units oN; prior to 2011-06-01 16:30 (WXT install) waswind vane, W200P Vector Instruments s/n 8409); ca 1992-09-21  12:00 wind direction logging corrected to vector averaging",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,23,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,24,Flag Wind direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,24,FLAG WD_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,24,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,25,Wind speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,25,WS_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,25,Units m/s; prior to 2011-0601 16:30 (WXT install) was cup anemometer (A100R (0.2 m/s threshold s/n 6597),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_valid,25,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long_name,26,Flag Wind speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short_name,26,FLAG WS_1_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,26,dimensionless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,,,,,,,,,,,,,,,,,,
1/1/2000 0:30,200001010030,00.02,003,,010,04.53,001,,010,,010,,010,,010,,010,993.00,001,,010,267.10,001,01.61,001,,,,,,,,,,,,,,,,,,
1/1/2000 1:00,200001010100,00.02,003,,010,04.96,001,,010,,010,,010,,010,,010,,010,,010,264.35,001,02.04,001,,,,,,,,,,,,,,,,,,
1/1/2000 1:30,200001010130,00.02,003,,010,05.11,001,,010,,010,,010,,010,,010,994.00,001,,010,253.15,001,02.23,001,,,,,,,,,,,,,,,,,,
1/1/2000 2:00,200001010200,00.02,003,,010,05.11,001,,010,,010,,010,,010,,010,994.00,001,,010,251.35,001,02.15,001,,,,,,,,,,,,,,,,,,
1/1/2000 2:30,200001010230,00.02,003,,010,05.28,001,,010,,010,,010,,010,,010,995.00,001,,010,241.95,001,02.72,001,,,,,,,,,,,,,,,,,,
1/1/2000 3:00,200001010300,00.02,003,,010,05.00,001,,010,,010,,010,,010,,010,995.00,001,,010,242.10,001,02.95,001,,,,,,,,,,,,,,,,,,
1/1/2000 3:30,200001010330,00.02,003,,010,04.84,001,,010,,010,,010,,010,,010,995.50,001,,010,246.85,001,02.29,001,,,,,,,,,,,,,,,,,,
1/1/2000 4:00,200001010400,00.02,003,,010,04.81,001,,010,,010,,010,,010,,010,996.00,001,,010,245.25,001,01.97,001,,,,,,,,,,,,,,,,,,
1/1/2000 4:30,200001010430,00.02,003,,010,04.95,001,,010,,010,,010,,010,,010,996.00,001,,010,244.05,001,02.15,001,,,,,,,,,,,,,,,,,,
1/1/2000 5:00,200001010500,00.02,003,,010,05.26,001,,010,,010,,010,,010,,010,996.00,001,,010,238.65,001,02.99,001,,,,,,,,,,,,,,,,,,
1/1/2000 5:30,200001010530,00.02,003,,010,04.33,001,,010,,010,,010,,010,,010,996.00,001,,010,214.00,001,03.34,001,,,,,,,,,,,,,,,,,,
1/1/2000 6:00,200001010600,00.02,003,,010,04.27,001,,010,,010,,010,,010,,010,996.50,001,,010,208.45,001,03.01,001,,,,,,,,,,,,,,,,,,
1/1/2000 6:30,200001010630,00.02,003,,010,03.41,001,,010,,010,,010,,010,,010,997.00,001,,010,194.20,001,02.41,001,,,,,,,,,,,,,,,,,,
1/1/2000 7:00,200001010700,00.02,003,,010,03.51,001,,010,,010,,010,,010,,010,997.00,001,,010,200.15,001,02.53,001,,,,,,,,,,,,,,,,,,
1/1/2000 7:30,200001010730,00.02,003,,010,03.37,001,,010,,010,,010,,010,,010,996.50,001,,010,210.55,001,02.46,001,,,,,,,,,,,,,,,,,,
1/1/2000 8:00,200001010800,00.02,003,,010,04.10,001,,010,,010,,010,,010,,010,996.50,001,,010,208.70,001,04.36,001,,,,,,,,,,,,,,,,,,
1/1/2000 8:30,200001010830,00.02,003,,010,03.82,001,,010,,010,,010,,010,,010,997.00,001,,010,213.75,001,03.56,001,,,,,,,,,,,,,,,,,,
1/1/2000 9:00,200001010900,01.63,001,,010,03.09,001,,010,,010,,010,,010,,010,997.00,001,,010,223.70,001,02.47,001,,,,,,,,,,,,,,,,,,
1/1/2000 9:30,200001010930,12.43,001,,010,02.88,001,,010,,010,,010,,010,,010,997.00,001,,010,219.80,001,02.37,001,,,,,,,,,,,,,,,,,,
1/1/2000 10:00,200001011000,15.65,001,,010,02.74,001,,010,,010,,010,,010,,010,997.00,001,,010,205.15,001,03.06,001,,,,,,,,,,,,,,,,,,
1/1/2000 10:30,200001011030,36.13,001,,010,03.12,001,,010,,010,,010,,010,,010,997.00,001,,010,206.50,001,04.36,001,,,,,,,,,,,,,,,,,,
1/1/2000 11:00,200001011100,83.06,001,,010,03.54,001,,010,,010,,010,,010,,010,997.00,001,,010,207.30,001,04.56,001,,,,,,,,,,,,,,,,,,
1/1/2000 11:30,200001011130,120.60,001,,010,04.52,001,,010,,010,,010,,010,,010,997.00,001,,010,218.10,001,04.17,001,,,,,,,,,,,,,,,,,,
1/1/2000 12:00,200001011200,144.05,001,,010,05.06,001,,010,,010,,010,,010,,010,997.00,001,,010,220.95,001,03.97,001,,,,,,,,,,,,,,,,,,
1/1/2000 12:30,200001011230,141.60,001,,010,05.11,001,,010,,010,,010,,010,,010,996.50,001,,010,218.35,001,04.50,001,,,,,,,,,,,,,,,,,,
1/1/2000 13:00,200001011300,128.30,001,,010,05.25,001,,010,,010,,010,,010,,010,996.00,001,,010,208.50,001,04.99,001,,,,,,,,,,,,,,,,,,
1/1/2000 13:30,200001011330,90.25,001,,010,05.34,001,,010,,010,,010,,010,,010,996.00,001,,010,207.85,001,05.08,001,,,,,,,,,,,,,,,,,,
1/1/2000 14:00,200001011400,56.94,001,,010,05.35,001,,010,,010,,010,,010,,010,996.00,001,,010,205.55,001,05.55,001,,,,,,,,,,,,,,,,,,
1/1/2000 14:30,200001011430,51.94,001,,010,05.39,001,,010,,010,,010,,010,,010,995.00,001,,010,208.10,001,05.08,001,,,,,,,,,,,,,,,,,,
1/1/2000 15:00,200001011500,26.90,001,,010,05.41,001,,010,,010,,010,,010,,010,995.00,001,,010,206.10,001,04.57,001,,,,,,,,,,,,,,,,,,
1/1/2000 15:30,200001011530,11.37,001,,010,05.25,001,,010,,010,,010,,010,,010,995.50,001,,010,206.55,001,04.03,001,,,,,,,,,,,,,,,,,,
1/1/2000 16:00,200001011600,00.02,003,,010,05.48,001,,010,,010,,010,,010,,010,995.50,001,,010,205.55,001,04.54,001,,,,,,,,,,,,,,,,,,
1/1/2000 16:30,200001011630,00.02,003,,010,05.34,001,,010,,010,,010,,010,,010,995.50,001,,010,200.10,001,04.34,001,,,,,,,,,,,,,,,,,,
1/1/2000 17:00,200001011700,00.02,003,,010,05.19,001,,010,,010,,010,,010,,010,995.00,001,,010,212.40,001,03.58,001,,,,,,,,,,,,,,,,,,
1/1/2000 17:30,200001011730,00.02,003,,010,05.22,001,,010,,010,,010,,010,,010,995.50,001,,010,211.85,001,04.06,001,,,,,,,,,,,,,,,,,,
1/1/2000 18:00,200001011800,00.02,003,,010,05.15,001,,010,,010,,010,,010,,010,995.50,001,,010,209.95,001,03.96,001,,,,,,,,,,,,,,,,,,
1/1/2000 18:30,200001011830,00.02,003,,010,05.02,001,,010,,010,,010,,010,,010,995.00,001,,010,218.45,001,03.60,001,,,,,,,,,,,,,,,,,,
1/1/2000 19:00,200001011900,00.02,003,,010,04.83,001,,010,,010,,010,,010,,010,995.00,001,,010,216.35,001,03.53,001,,,,,,,,,,,,,,,,,,
1/1/2000 19:30,200001011930,00.02,003,,010,04.63,001,,010,,010,,010,,010,,010,994.00,001,,010,215.60,001,03.63,001,,,,,,,,,,,,,,,,,,
1/1/2000 20:00,200001012000,00.02,003,,010,04.73,001,,010,,010,,010,,010,,010,994.00,001,,010,217.05,001,04.17,001,,,,,,,,,,,,,,,,,,
1/1/2000 20:30,200001012030,00.02,003,,010,04.97,001,,010,,010,,010,,010,,010,994.00,001,,010,215.10,001,04.73,001,,,,,,,,,,,,,,,,,,
1/1/2000 21:00,200001012100,00.02,003,,010,05.01,001,,010,,010,,010,,010,,010,994.00,001,,010,216.00,001,03.71,001,,,,,,,,,,,,,,,,,,
1/1/2000 21:30,200001012130,00.02,003,,010,05.11,001,,010,,010,,010,,010,,010,993.50,001,,010,222.85,001,03.28,001,,,,,,,,,,,,,,,,,,
1/1/2000 22:00,200001012200,00.02,003,,010,05.38,001,,010,,010,,010,,010,,010,993.00,001,,010,216.90,001,03.44,001,,,,,,,,,,,,,,,,,,
1/1/2000 22:30,200001012230,00.02,003,,010,05.60,001,,010,,010,,010,,010,,010,993.00,001,,010,215.20,001,04.43,001,,,,,,,,,,,,,,,,,,
1/1/2000 23:00,200001012300,00.02,003,,010,05.64,001,,010,,010,,010,,010,,010,992.00,001,,010,209.75,001,04.53,001,,,,,,,,,,,,,,,,,,
1/1/2000 23:30,200001012330,00.02,003,,010,05.67,001,,010,,010,,010,,010,,010,992.00,001,,010,202.55,001,04.49,001,,,,,,,,,,,,,,,,,,
1/2/2000 0:00,200001020000,00.02,003,,010,05.66,001,,010,,010,,010,,010,,010,991.50,001,,010,202.05,001,05.61,001,,,,,,,,,,,,,,,,,,
1/2/2000 0:30,200001020030,00.02,003,,010,05.84,001,,010,,010,,010,,010,,010,991.00,001,,010,206.50,001,06.06,001,,,,,,,,,,,,,,,,,,
1/2/2000 1:00,200001020100,00.02,003,,010,06.26,001,,010,,010,,010,,010,,010,991.00,001,,010,206.25,001,06.65,001,,,,,,,,,,,,,,,,,,
1/2/2000 1:30,200001020130,00.02,003,,010,06.34,001,,010,,010,,010,,010,,010,991.00,001,,010,207.15,001,06.53,001,,,,,,,,,,,,,,,,,,
1/2/2000 2:00,200001020200,00.02,003,,010,06.22,001,,010,,010,,010,,010,,010,991.00,001,,010,210.80,001,06.34,001,,,,,,,,,,,,,,,,,,
1/2/2000 2:30,200001020230,00.02,003,,010,06.39,001,,010,,010,,010,,010,,010,992.00,001,,010,211.25,001,06.23,001,,,,,,,,,,,,,,,,,,
1/2/2000 3:00,200001020300,00.02,003,,010,06.43,001,,010,,010,,010,,010,,010,992.00,001,,010,209.05,001,06.68,001,,,,,,,,,,,,,,,,,,
1/2/2000 3:30,200001020330,00.02,003,,010,06.94,001,,010,,010,,010,,010,,010,992.00,001,,010,215.90,001,06.43,001,,,,,,,,,,,,,,,,,,
1/2/2000 4:00,200001020400,00.02,003,,010,07.11,001,,010,,010,,010,,010,,010,992.00,001,,010,220.30,001,05.52,001,,,,,,,,,,,,,,,,,,
1/2/2000 4:30,200001020430,00.02,003,,010,07.03,001,,010,,010,,010,,010,,010,992.00,001,,010,214.00,001,06.09,001,,,,,,,,,,,,,,,,,,
1/2/2000 5:00,200001020500,00.02,003,,010,07.15,001,,010,,010,,010,,010,,010,992.00,001,,010,220.50,001,06.13,001,,,,,,,,,,,,,,,,,,
1/2/2000 5:30,200001020530,00.02,003,,010,07.25,001,,010,,010,,010,,010,,010,992.00,001,,010,231.40,001,06.13,001,,,,,,,,,,,,,,,,,,
1/2/2000 6:00,200001020600,00.02,003,,010,06.98,001,,010,,010,,010,,010,,010,992.00,001,,010,240.15,001,05.88,001,,,,,,,,,,,,,,,,,,
1/2/2000 6:30,200001020630,00.02,003,,010,06.80,001,,010,,010,,010,,010,,010,993.00,001,,010,243.20,001,05.18,001,,,,,,,,,,,,,,,,,,
1/2/2000 7:00,200001020700,00.02,003,,010,06.53,001,,010,,010,,010,,010,,010,993.00,001,,010,238.95,001,04.41,001,,,,,,,,,,,,,,,,,,
1/2/2000 7:30,200001020730,00.02,003,,010,06.18,001,,010,,010,,010,,010,,010,994.00,001,,010,238.60,001,03.92,001,,,,,,,,,,,,,,,,,,
1/2/2000 8:00,200001020800,00.02,003,,010,05.94,001,,010,,010,,010,,010,,010,994.50,001,,010,233.25,001,04.12,001,,,,,,,,,,,,,,,,,,
1/2/2000 8:30,200001020830,00.02,003,,010,05.59,001,,010,,010,,010,,010,,010,995.00,001,,010,238.25,001,03.57,001,,,,,,,,,,,,,,,,,,
1/2/2000 9:00,200001020900,00.47,001,,010,05.52,001,,010,,010,,010,,010,,010,995.50,001,,010,225.75,001,04.20,001,,,,,,,,,,,,,,,,,,
1/2/2000 9:30,200001020930,07.60,001,,010,05.29,001,,010,,010,,010,,010,,010,996.00,001,,010,239.50,001,03.95,001,,,,,,,,,,,,,,,,,,
1/2/2000 10:00,200001021000,37.26,001,,010,05.43,001,,010,,010,,010,,010,,010,996.00,001,,010,235.90,001,04.01,001,,,,,,,,,,,,,,,,,,
1/2/2000 10:30,200001021030,77.45,001,,010,05.62,001,,010,,010,,010,,010,,010,996.00,001,,010,243.25,001,03.25,001,,,,,,,,,,,,,,,,,,
1/2/2000 11:00,200001021100,80.45,001,,010,05.62,001,,010,,010,,010,,010,,010,996.00,001,,010,241.75,001,03.11,001,,,,,,,,,,,,,,,,,,
1/2/2000 11:30,200001021130,132.25,001,,010,06.06,001,,010,,010,,010,,010,,010,996.00,001,,010,234.20,001,03.46,001,,,,,,,,,,,,,,,,,,
1/2/2000 12:00,200001021200,141.85,001,,010,06.56,001,,010,,010,,010,,010,,010,997.00,001,,010,217.95,001,03.57,001,,,,,,,,,,,,,,,,,,
1/2/2000 12:30,200001021230,116.25,001,,010,06.16,001,,010,,010,,010,,010,,010,996.50,001,,010,200.80,001,03.34,001,,,,,,,,,,,,,,,,,,
