8/5/2012 8:30,201208050830,87.95,001,13.21,001,12.83,001,,010,100.75,002,,010,00.00,001,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 9:00,201208050900,88.93,001,13.32,001,12.94,001,,010,100.80,002,,010,00.00,001,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 9:30,201208050930,75.73,001,13.34,001,12.95,001,,010,100.80,002,,010,00.00,001,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 10:00,201208051000,126.65,001,13.53,001,13.11,001,,010,100.80,002,,010,00.00,001,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 10:30,201208051030,45.31,001,13.44,001,13.02,001,,010,100.75,002,,010,00.00,001,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 11:00,201208051100,16.51,001,13.37,001,12.95,001,,010,100.70,002,,010,01.50,001,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 11:30,201208051130,25.43,001,13.27,001,12.80,001,,010,100.70,002,,010,05.00,001,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 12:00,201208051200,27.53,001,13.10,001,12.65,001,,010,100.70,002,,010,07.00,001,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 12:30,201208051230,28.99,001,12.87,001,12.40,001,,010,100.75,002,,010,01.50,001,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 13:00,201208051300,70.80,001,12.22,001,11.71,001,,010,100.65,002,,010,00.00,001,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 13:30,201208051330,114.50,001,12.42,001,11.90,001,,010,100.60,002,,010,00.00,001,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 14:00,201208051400,87.65,001,12.70,001,12.15,001,,010,100.45,002,,010,00.00,001,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 14:30,201208051430,96.05,001,12.90,001,12.34,001,,010,100.25,002,,010,00.00,001,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 15:00,201208051500,140.90,001,12.94,001,12.38,001,,010,100.00,001,,010,00.00,001,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 15:30,201208051530,130.90,001,13.13,001,12.60,001,,010,98.75,001,,010,00.00,001,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 16:00,201208051600,207.80,001,13.53,001,12.79,001,,010,94.75,001,,010,00.00,001,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 16:30,201208051630,266.35,001,14.01,001,13.06,001,,010,89.30,001,,010,00.00,001,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 17:00,201208051700,260.55,001,14.44,001,13.40,001,,010,87.90,001,,010,00.00,001,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 17:30,201208051730,127.70,001,14.40,001,13.47,001,,010,91.35,001,,010,00.00,001,,010,982.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 18:00,201208051800,78.50,001,14.06,001,13.27,001,,010,94.50,001,,010,00.00,001,,010,982.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 18:30,201208051830,84.15,001,14.06,001,13.21,001,,010,93.40,001,,010,00.00,001,,010,982.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 19:00,201208051900,47.87,001,13.68,001,12.92,001,,010,96.50,001,,010,00.00,001,,010,982.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 19:30,201208051930,22.13,001,13.40,001,12.61,001,,010,98.00,001,,010,00.00,001,,010,982.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 20:00,201208052000,10.67,001,13.21,001,12.53,001,,010,98.80,001,,010,00.00,001,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 20:30,201208052030,00.02,003,12.94,001,12.30,001,,010,99.00,001,,010,00.00,001,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 21:00,201208052100,00.02,003,12.64,001,12.05,001,,010,98.65,001,,010,00.00,001,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 21:30,201208052130,00.02,003,12.57,001,11.85,001,,010,98.35,001,,010,00.00,001,,010,982.50,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 22:00,201208052200,00.02,003,12.44,001,11.72,001,,010,98.50,001,,010,00.00,001,,010,982.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 22:30,201208052230,00.02,003,12.25,001,11.52,001,,010,98.90,001,,010,00.00,001,,010,982.50,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 23:00,201208052300,00.02,003,11.86,001,11.15,001,,010,99.15,001,,010,00.00,001,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/5/2012 23:30,201208052330,00.02,003,11.57,001,10.87,001,,010,99.45,001,,010,00.00,001,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 0:00,201208060000,00.02,003,11.63,001,10.98,001,,010,99.70,001,,010,00.00,001,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 0:30,201208060030,00.02,003,11.88,001,11.29,001,,010,99.90,001,,010,00.00,001,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 1:00,201208060100,00.02,003,11.92,001,11.31,001,,010,100.05,002,,010,00.00,001,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 1:30,201208060130,00.02,003,11.82,001,11.25,001,,010,100.25,002,,010,00.00,001,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 2:00,201208060200,00.02,003,11.55,001,10.97,001,,010,100.35,002,,010,00.00,001,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 2:30,201208060230,00.02,003,11.29,001,10.74,001,,010,100.50,002,,010,,010,,010,982.50,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 3:00,201208060300,00.02,003,11.42,001,10.88,001,,010,100.55,002,,010,,010,,010,982.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 3:30,201208060330,00.02,003,11.51,001,10.98,001,,010,100.55,002,,010,,010,,010,982.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 4:00,201208060400,00.02,003,11.41,001,10.89,001,,010,100.50,002,,010,,010,,010,982.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 4:30,201208060430,00.02,003,11.47,001,10.95,001,,010,100.55,002,,010,,010,,010,982.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 5:00,201208060500,04.76,001,11.55,001,11.03,001,,010,100.50,002,,010,,010,,010,982.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 5:30,201208060530,35.09,001,11.71,001,11.15,001,,010,100.35,002,,010,,010,,010,982.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 6:00,201208060600,68.01,001,12.03,001,11.47,001,,010,100.15,002,,010,,010,,010,982.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 6:30,201208060630,112.35,001,12.39,001,11.84,001,,010,99.85,001,,010,,010,,010,982.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 7:00,201208060700,153.75,001,12.95,001,12.35,001,,010,98.60,001,,010,,010,,010,982.50,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 7:30,201208060730,207.85,001,13.61,001,12.87,001,,010,94.40,001,,010,,010,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 8:00,201208060800,123.90,001,14.31,001,13.25,001,,010,89.35,001,,010,,010,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 8:30,201208060830,119.15,001,14.06,001,13.14,001,,010,92.10,001,,010,,010,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 9:00,201208060900,162.75,001,14.05,001,13.19,001,,010,93.20,001,,010,,010,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 9:30,201208060930,83.48,001,13.36,001,12.63,001,,010,97.50,001,,010,,010,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 10:00,201208061000,139.75,001,13.42,001,12.67,001,,010,98.35,001,,010,,010,,010,983.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 10:30,201208061030,191.90,001,13.59,001,12.92,001,,010,97.40,001,,010,,010,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 11:00,201208061100,136.00,001,13.90,001,13.15,001,,010,95.05,001,,010,,010,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 11:30,201208061130,168.95,001,14.00,001,13.25,001,,010,94.00,001,,010,,010,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 12:00,201208061200,277.50,001,14.74,001,13.81,001,,010,89.15,001,,010,,010,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 12:30,201208061230,388.25,001,15.41,001,14.31,001,,010,84.05,001,,010,,010,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 13:00,201208061300,743.00,001,16.31,001,15.25,001,,010,79.80,001,,010,,010,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 13:30,201208061330,768.00,001,16.58,001,15.81,001,,010,78.40,001,,010,,010,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 14:00,201208061400,769.50,001,16.92,001,16.31,001,,010,73.60,001,,010,,010,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 14:30,201208061430,763.50,001,17.45,001,16.94,001,,010,70.47,001,,010,,010,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 15:00,201208061500,600.25,001,17.72,001,17.15,001,,010,69.82,001,,010,,010,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 15:30,201208061530,504.10,001,17.50,001,16.87,001,,010,71.95,001,,010,,010,,010,984.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 16:00,201208061600,274.35,001,17.15,001,16.48,001,,010,70.65,001,,010,,010,,010,984.50,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 16:30,201208061630,266.55,001,16.94,001,16.29,001,,010,71.50,001,,010,,010,,010,985.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 17:00,201208061700,155.50,001,16.03,001,15.39,001,,010,77.60,001,,010,,010,,010,985.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 17:30,201208061730,44.31,001,15.02,001,14.43,001,,010,81.95,001,,010,,010,,010,985.50,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 18:00,201208061800,42.40,001,14.47,001,13.88,001,,010,85.85,001,,010,,010,,010,986.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 18:30,201208061830,37.64,001,14.00,001,13.42,001,,010,91.55,001,,010,,010,,010,986.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 19:00,201208061900,28.11,001,13.86,001,13.17,001,,010,93.60,001,,010,,010,,010,986.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 19:30,201208061930,07.14,001,13.32,001,12.53,001,,010,95.05,001,,010,,010,,010,987.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 20:00,201208062000,01.94,001,13.12,001,12.38,001,,010,96.55,001,,010,,010,,010,987.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 20:30,201208062030,00.02,003,13.21,001,12.33,001,,010,97.45,001,,010,,010,,010,987.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 21:00,201208062100,00.02,003,13.35,001,12.32,001,,010,96.30,001,,010,,010,,010,987.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 21:30,201208062130,00.02,003,13.32,001,12.37,001,,010,95.75,001,,010,,010,,010,987.50,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 22:00,201208062200,00.02,003,13.19,001,12.44,001,,010,95.45,001,,010,,010,,010,988.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 22:30,201208062230,00.02,003,13.03,001,12.39,001,,010,95.50,001,,010,,010,,010,988.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 23:00,201208062300,00.02,003,12.72,001,12.13,001,,010,93.40,001,,010,,010,,010,988.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/6/2012 23:30,201208062330,00.02,003,12.44,001,11.82,001,,010,91.45,001,,010,,010,,010,988.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 0:00,201208070000,00.02,003,12.10,001,11.47,001,,010,91.75,001,,010,,010,,010,988.50,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 0:30,201208070030,00.02,003,11.85,001,11.21,001,,010,92.15,001,,010,,010,,010,989.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 1:00,201208070100,00.02,003,11.78,001,11.13,001,,010,89.10,001,,010,,010,,010,989.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 1:30,201208070130,00.02,003,11.52,001,10.90,001,,010,90.00,001,,010,,010,,010,989.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 2:00,201208070200,00.02,003,11.24,001,10.68,001,,010,92.40,001,,010,,010,,010,989.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 2:30,201208070230,00.02,003,11.02,001,10.46,001,,010,92.40,001,,010,,010,,010,989.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 3:00,201208070300,00.02,003,10.89,001,10.35,001,,010,89.60,001,,010,,010,,010,989.50,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 3:30,201208070330,00.02,003,10.76,001,10.27,001,,010,87.55,001,,010,,010,,010,990.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 4:00,201208070400,00.02,003,10.78,001,10.23,001,,010,86.30,001,,010,,010,,010,990.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 4:30,201208070430,00.02,003,10.81,001,10.25,001,,010,86.55,001,,010,,010,,010,990.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 5:00,201208070500,06.62,001,10.49,001,09.93,001,,010,88.10,001,,010,,010,,010,990.50,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 5:30,201208070530,16.36,001,09.65,001,09.18,001,,010,94.85,001,,010,,010,,010,991.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 6:00,201208070600,41.01,001,09.74,001,09.23,001,,010,93.30,001,,010,,010,,010,991.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 6:30,201208070630,39.36,001,09.73,001,09.26,001,,010,93.70,001,,010,,010,,010,991.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 7:00,201208070700,170.35,001,10.65,001,10.21,001,,010,89.85,001,,010,,010,,010,991.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 7:30,201208070730,321.85,001,11.94,001,11.52,001,,010,84.35,001,,010,,010,,010,992.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 8:00,201208070800,403.45,001,12.92,001,12.49,001,,010,75.95,001,,010,,010,,010,992.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 8:30,201208070830,487.85,001,13.57,001,13.16,001,,010,71.80,001,,010,,010,,010,992.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 9:00,201208070900,571.65,001,14.13,001,13.79,001,,010,72.65,001,,010,,010,,010,992.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 9:30,201208070930,635.20,001,14.70,001,14.37,001,,010,70.85,001,,010,,010,,010,992.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 10:00,201208071000,680.25,001,15.36,001,15.04,001,,010,68.96,001,,010,,010,,010,992.50,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 10:30,201208071030,695.70,001,15.93,001,15.57,001,,010,65.79,001,,010,,010,,010,993.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 11:00,201208071100,762.50,001,16.26,001,15.90,001,,010,63.53,001,,010,,010,,010,993.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 11:30,201208071130,663.50,001,16.57,001,16.21,001,,010,65.35,001,,010,,010,,010,993.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 12:00,201208071200,619.40,001,16.51,001,16.12,001,,010,67.14,001,,010,,010,,010,993.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 12:30,201208071230,838.50,001,17.88,001,17.51,001,,010,61.95,001,,010,,010,,010,993.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 13:00,201208071300,683.45,001,17.56,001,17.21,001,,010,63.59,001,,010,,010,,010,994.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 13:30,201208071330,606.60,001,17.49,001,17.11,001,,010,65.62,001,,010,,010,,010,994.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 14:00,201208071400,750.00,001,17.93,001,17.57,001,,010,63.01,001,,010,,010,,010,994.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 14:30,201208071430,703.65,001,18.25,001,17.88,001,,010,61.95,001,,010,,010,,010,994.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 15:00,201208071500,631.55,001,18.41,001,17.98,001,,010,62.60,001,,010,,010,,010,994.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 15:30,201208071530,619.55,001,18.34,001,17.92,001,,010,63.87,001,,010,,010,,010,994.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 16:00,201208071600,441.50,001,18.15,001,17.71,001,,010,63.83,001,,010,,010,,010,994.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 16:30,201208071630,484.80,001,18.34,001,17.89,001,,010,63.40,001,,010,,010,,010,994.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 17:00,201208071700,381.90,001,18.00,001,17.51,001,,010,65.44,001,,010,,010,,010,994.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 17:30,201208071730,344.85,001,17.92,001,17.43,001,,010,65.49,001,,010,,010,,010,994.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 18:00,201208071800,265.65,001,17.79,001,17.32,001,,010,65.19,001,,010,,010,,010,995.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 18:30,201208071830,189.90,001,17.30,001,16.83,001,,010,66.24,001,,010,,010,,010,995.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 19:00,201208071900,121.65,001,16.88,001,16.39,001,,010,67.74,001,,010,,010,,010,995.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 19:30,201208071930,33.03,001,15.86,001,15.35,001,,010,72.65,001,,010,,010,,010,995.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 20:00,201208072000,11.46,001,14.83,001,14.30,001,,010,76.75,001,,010,,010,,010,996.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 20:30,201208072030,00.02,003,14.10,001,13.63,001,,010,79.65,001,,010,,010,,010,996.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 21:00,201208072100,00.02,003,13.68,001,13.21,001,,010,81.20,001,,010,,010,,010,996.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 21:30,201208072130,00.02,003,13.37,001,12.92,001,,010,82.55,001,,010,,010,,010,996.50,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 22:00,201208072200,00.02,003,12.85,001,12.39,001,,010,85.70,001,,010,,010,,010,997.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 22:30,201208072230,00.02,003,12.63,001,12.15,001,,010,87.00,001,,010,,010,,010,997.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 23:00,201208072300,00.02,003,12.60,001,12.15,001,,010,86.85,001,,010,,010,,010,997.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/7/2012 23:30,201208072330,00.02,003,12.44,001,12.02,001,,010,87.70,001,,010,,010,,010,997.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 0:00,201208080000,00.02,003,12.27,001,11.87,001,,010,88.10,001,,010,,010,,010,997.50,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 0:30,201208080030,00.02,003,11.94,001,11.57,001,,010,89.00,001,,010,,010,,010,998.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 1:00,201208080100,00.02,003,11.45,001,11.06,001,,010,89.80,001,,010,,010,,010,998.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 1:30,201208080130,00.02,003,10.68,001,10.24,001,,010,93.05,001,,010,,010,,010,998.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 2:00,201208080200,00.02,003,10.29,001,09.85,001,,010,94.85,001,,010,,010,,010,998.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 2:30,201208080230,00.02,003,10.06,001,09.61,001,,010,96.05,001,,010,,010,,010,998.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 3:00,201208080300,00.02,003,09.84,001,09.29,001,,010,96.80,001,,010,,010,,010,998.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 3:30,201208080330,00.02,003,09.54,001,09.08,001,,010,97.15,001,,010,,010,,010,998.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 4:00,201208080400,00.02,003,09.16,001,08.76,001,,010,97.40,001,,010,,010,,010,998.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 4:30,201208080430,00.02,003,09.34,001,08.90,001,,010,96.15,001,,010,,010,,010,998.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 5:00,201208080500,07.82,001,09.04,001,08.49,001,,010,96.90,001,,010,,010,,010,998.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 5:30,201208080530,17.50,001,08.71,001,08.21,001,,010,98.20,001,,010,,010,,010,998.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 6:00,201208080600,25.76,001,09.76,001,09.37,001,,010,96.85,001,,010,,010,,010,999.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 6:30,201208080630,31.76,001,11.09,001,10.69,001,,010,92.45,001,,010,,010,,010,999.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 7:00,201208080700,167.25,001,11.97,001,11.59,001,,010,89.40,001,,010,,010,,010,999.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 7:30,201208080730,310.75,001,12.66,001,12.29,001,,010,86.25,001,,010,,010,,010,999.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 8:00,201208080800,404.50,001,13.30,001,12.94,001,,010,81.65,001,,010,,010,,010,999.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 8:30,201208080830,492.15,001,13.94,001,13.57,001,,010,78.25,001,,010,,010,,010,1000.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 9:00,201208080900,409.65,001,14.80,001,14.55,001,,010,73.05,001,,010,,010,,010,1000.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 9:30,201208080930,597.50,001,15.41,001,15.05,001,,010,68.64,001,,010,,010,,010,1000.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 10:00,201208081000,710.50,001,16.27,001,15.85,001,,010,64.93,001,,010,,010,,010,1000.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 10:30,201208081030,877.00,001,17.39,001,17.00,001,,010,61.56,001,,010,,010,,010,1000.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 11:00,201208081100,470.80,001,16.34,001,16.06,001,,010,65.67,001,,010,,010,,010,1000.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 11:30,201208081130,373.20,001,16.63,001,16.20,001,,010,64.29,001,,010,,010,,010,1000.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 12:00,201208081200,719.55,001,17.63,001,17.16,001,,010,59.99,001,,010,,010,,010,1000.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 12:30,201208081230,493.95,001,17.48,001,17.11,001,,010,60.89,001,,010,,010,,010,1000.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 13:00,201208081300,941.50,001,18.13,001,17.87,001,,010,63.86,001,,010,,010,,010,1000.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 13:30,201208081330,476.40,001,17.44,001,17.05,001,,010,66.45,001,,010,,010,,010,1000.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 14:00,201208081400,418.10,001,17.36,001,16.94,001,,010,66.34,001,,010,,010,,010,1000.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 14:30,201208081430,515.35,001,17.80,001,17.42,001,,010,64.91,001,,010,,010,,010,1000.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 15:00,201208081500,312.40,001,17.46,001,17.00,001,,010,65.96,001,,010,,010,,010,1000.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 15:30,201208081530,393.15,001,17.80,001,17.38,001,,010,66.15,001,,010,,010,,010,1000.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 16:00,201208081600,364.10,001,18.02,001,17.56,001,,010,64.86,001,,010,,010,,010,1000.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 16:30,201208081630,280.65,001,17.70,001,17.22,001,,010,66.62,001,,010,,010,,010,1000.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 17:00,201208081700,379.00,001,18.11,001,17.62,001,,010,64.25,001,,010,,010,,010,1000.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
8/8/2012 17:30,201208081730,178.60,001,17.69,001,17.20,001,,010,63.73,001,,010,,010,,010,1000.00,001,,010,,010,,010,,,,,,,,,,,,,,,,,,
